example_id                                                        | status | run_time        |
./spec/unified_payment_gateway/gateway_spec.rb[1:10:1]            | failed | 0.00013 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:10:2]            | failed | 0.01435 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:11:1]            | passed | 0.00044 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:12:1]            | failed | 0.00043 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:13:1]            | failed | 0.00013 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:14:1]            | passed | 0.0009 seconds  |
./spec/unified_payment_gateway/gateway_spec.rb[1:15:1]            | passed | 0.00063 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:16:1]            | failed | 0.00016 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:17:1]            | failed | 0.0002 seconds  |
./spec/unified_payment_gateway/gateway_spec.rb[1:18:1]            | passed | 0.00055 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:19:1]            | passed | 0.00046 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:20:1]            | passed | 0.00029 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:21:1]            | failed | 0.00017 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:22:1]            | passed | 0.00044 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:23:1]            | failed | 0.02805 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:23:2]            | failed | 0.00205 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:23:3]            | failed | 0.00202 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:1:1]      | passed | 0.0001 seconds  |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:1:2]      | passed | 0.00006 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:1:3]      | passed | 0.00005 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:2:1]      | passed | 0.01662 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:3:1]      | passed | 0.01671 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:4:1]      | passed | 0.01845 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:5:1]      | passed | 0.01761 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:6:1]      | passed | 0.01757 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:7:1]      | passed | 0.01837 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:8:1]      | passed | 0.0209 seconds  |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:9:1]      | passed | 0.04187 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:10:1]     | passed | 0.01727 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:11:1]     | passed | 0.01652 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:12:1]     | passed | 0.01794 seconds |
./spec/unified_payment_gateway/kamoney/client_spec.rb[1:13:1]     | passed | 0.01833 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:1:1]  | passed | 0.00011 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:1:2]  | passed | 0.00007 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:2:1]  | failed | 0.01675 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:2:2]  | failed | 0.01652 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:3:1]  | failed | 0.01635 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:4:1]  | failed | 0.02013 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:5:1]  | failed | 0.00028 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:6:1]  | failed | 0.00045 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:7:1]  | failed | 0.00031 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:8:1]  | failed | 0.00024 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:9:1]  | failed | 0.00033 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:10:1] | failed | 0.00038 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:11:1] | failed | 0.00041 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:12:1] | failed | 0.00024 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:13:1] | failed | 0.00024 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:14:1] | failed | 0.00023 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:15:1] | failed | 0.01922 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:16:1] | failed | 0.01811 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:17:1] | failed | 0.01814 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:18:1] | failed | 0.01703 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:19:1] | failed | 0.01786 seconds |
./spec/unified_payment_gateway/nowpayments/client_spec.rb[1:20:1] | failed | 0.01637 seconds |
./spec/unified_payment_gateway_spec.rb[1:1:1]                     | passed | 0.00145 seconds |
./spec/unified_payment_gateway_spec.rb[1:1:2]                     | passed | 0.00233 seconds |
./spec/unified_payment_gateway_spec.rb[1:2:1]                     | passed | 0.00199 seconds |
./spec/unified_payment_gateway_spec.rb[1:3:1]                     | passed | 0.00185 seconds |
